Group_name,IU_ID,IU_ID2,Coverage Group
1_2,18945,ETH18945,2
1_1,34260,NAM34260,1
2_2,18775,ETH18775,2
2_1,2174,AGO02174,1
3_2,7472,CMR07472,2
3_1,44325,SSD44325,1
4_1,34275,NAM34275,1
4_2,18571,ETH18571,2
5_2,54069,KEN54069,2
5_1,36449,NGA36449,1
6_2,40183,SEN40183,2
6_1,16428,GNQ16428,1
7_2,42257,SLE42257,2
7_1,53211,SDN53211,1
8_2,18884,ETH18884,2
8_1,50848,ZMB50848,1
9_2,3259,BEN03259,2
9_1,36586,NGA36586,1
10_2,54120,KEN54120,2
10_1,14001,COD14001,1
11_2,42263,SLE42263,2
11_1,10686,TCD10686,1
12_2,54056,KEN54056,2
12_1,44387,SSD44387,1
13_2,19099,ETH19099,2
13_1,13852,COD13852,1
14_2,54070,KEN54070,2
14_1,13963,COD13963,1
15_2,54253,KEN54253,2
16_2,6379,BDI06379,2
16_1,36912,NGA36912,1
17_2,52936,ZWE52936,2
17_1,36903,NGA36903,1
18_2,21554,GHA21554,2
18_1,15404,CIV15404,1
19_2,7429,CMR07429,2
19_1,15365,CIV15365,1
20_2,27879,MDG27879,2
20_1,14290,COD14290,1
21_1,20376,GAB20376,1
21_2,19052,ETH19052,2
22_1,14302,COD14302,1
22_2,18915,ETH18915,2
23_1,49802,UGA49802,1
24_1,49799,UGA49799,1
25_2,21427,GHA21427,2
26_2,42259,SLE42259,2
27_2,54254,KEN54254,2
28_1,36525,NGA36525,1
28_2,18633,ETH18633,2
29_1,33134,MOZ33134,1
29_2,21516,GHA21516,2
30_2,27873,MDG27873,2
30_1,15409,CIV15409,1
31_1,36837,NGA36837,1
31_2,46547,TZA46547,2
32_1,35336,NER35336,1
33_2,21601,GHA21601,2
33_1,36620,NGA36620,1
34_2,46553,TZA46553,2
34_1,36824,NGA36824,1
35_2,19303,ETH19303,2
35_1,36889,NGA36889,1
36_1,49748,UGA49748,1
37_2,18656,ETH18656,2
37_1,2167,AGO02167,1
38_1,36719,NGA36719,1
38_2,53003,BFA53003,2
39_2,18657,ETH18657,2
40_1,10716,TCD10716,1
40_2,19324,ETH19324,2
41_1,35331,NER35331,1
42_2,21507,GHA21507,2
43_1,36787,NGA36787,1
43_2,18555,ETH18555,2
44_1,36881,NGA36881,1
45_1,35305,NER35305,1
47_2,54048,KEN54048,2
48_2,40166,SEN40166,2
48_1,48704,TGO48704,1
49_2,21471,GHA21471,2
49_1,36565,NGA36565,1
50_2,18650,ETH18650,2
51_1,49766,UGA49766,1
52_1,33133,MOZ33133,1
52_2,27885,MDG27885,2
53_1,37108,NGA37108,1
53_2,5340,BFA05340,2
54_1,33217,MOZ33217,1
55_1,33212,MOZ33212,1
56_2,46618,TZA46618,2
56_1,36931,NGA36931,1
57_1,35309,NER35309,1
58_2,46511,TZA46511,2
58_1,37042,NGA37042,1
59_1,2201,AGO02201,1
59_2,18692,ETH18692,2
60_2,21424,GHA21424,2
61_2,18644,ETH18644,2
62_2,21474,GHA21474,2
63_1,36700,NGA36700,1
63_2,19281,ETH19281,2
64_1,49732,UGA49732,1
65_1,36786,NGA36786,1
66_1,36892,NGA36892,1
67_1,26829,LBR26829,1
68_2,28953,MWI28953,2
69_1,37045,NGA37045,1
69_2,46504,TZA46504,2
70_1,33202,MOZ33202,1
71_1,33240,MOZ33240,1
71_2,18660,ETH18660,2
72_1,35328,NER35328,1
73_1,36876,NGA36876,1
74_1,35299,NER35299,1
75_1,17461,ERI17461,1
76_2,7527,CMR07527,2
76_1,36561,NGA36561,1
77_1,2209,AGO02209,1
77_2,40188,SEN40188,2
78_2,46517,TZA46517,2
78_1,2204,AGO02204,1
79_2,40224,SEN40224,2
80_2,18641,ETH18641,2
81_1,49745,UGA49745,1
82_1,37060,NGA37060,1
82_2,6387,BDI06387,2
83_1,33200,MOZ33200,1
84_1,33108,MOZ33108,1
84_2,30032,MLI30032,2
85_1,33254,MOZ33254,1
86_1,33235,MOZ33235,1
87_1,49710,UGA49710,1
88_1,2069,AGO02069,1
88_2,28946,MWI28946,2
89_1,48677,TGO48677,1
89_2,29982,MLI29982,2
90_2,29983,MLI29983,2
91_2,18585,ETH18585,2
92_1,48700,TGO48700,1
93_1,36898,NGA36898,1
94_1,48667,TGO48667,1
95_2,29988,MLI29988,2
96_1,36788,NGA36788,1
96_2,30011,MLI30011,2
97_2,18903,ETH18903,2
98_2,28952,MWI28952,2
99_1,35298,NER35298,1
100_2,42258,SLE42258,2
101_1,49782,UGA49782,1
102_1,35303,NER35303,1
103_1,49725,UGA49725,1
105_1,33102,MOZ33102,1
106_1,48702,TGO48702,1
106_2,30005,MLI30005,2
107_2,53005,BFA53005,2
107_1,17467,ERI17467,1
108_1,49731,UGA49731,1
109_2,7575,CMR07575,2
109_1,36865,NGA36865,1
110_2,21534,GHA21534,2
111_2,21560,GHA21560,2
112_2,7509,CMR07509,2
113_2,40210,SEN40210,2
114_2,18579,ETH18579,2
115_1,49805,UGA49805,1
116_1,35323,NER35323,1
117_1,33246,MOZ33246,1
118_2,21425,GHA21425,2
119_2,5347,BFA05347,2
120_1,35312,NER35312,1
121_2,28967,MWI28967,2
122_1,36509,NGA36509,1
122_2,18704,ETH18704,2
123_2,28945,MWI28945,2
123_1,48699,TGO48699,1
124_2,29984,MLI29984,2
125_2,28972,MWI28972,2
126_2,28954,MWI28954,2
126_1,49734,UGA49734,1
127_2,28955,MWI28955,2
128_1,35327,NER35327,1
129_2,28948,MWI28948,2
130_2,18670,ETH18670,2
131_1,15384,CIV15384,1
132_2,18616,ETH18616,2
133_1,48669,TGO48669,1
133_2,7501,CMR07501,2
134_1,49740,UGA49740,1
135_1,35304,NER35304,1
136_1,33114,MOZ33114,1
137_1,48676,TGO48676,1
138_1,17441,ERI17441,1
139_1,49713,UGA49713,1
140_2,28961,MWI28961,2
141_2,28958,MWI28958,2
141_1,48689,TGO48689,1
142_2,42256,SLE42256,2
143_2,28968,MWI28968,2
144_2,28969,MWI28969,2
144_1,49789,UGA49789,1
146_1,49801,UGA49801,1
147_2,28959,MWI28959,2
148_1,49816,UGA49816,1
149_2,28963,MWI28963,2
150_1,48703,TGO48703,1
151_2,5330,BFA05330,2
152_1,35316,NER35316,1
153_2,5315,BFA05315,2
154_2,5326,BFA05326,2